Service ID,id,title,HTML
100,9989789,Service 100: City Council,"<p><em>For your reference, the Fiscal 2022 Actual, Fiscal 2023 Adopted, and Fiscal 2024 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2022 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2024 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
      </tr></tbody></table>"
103,9989805,Service 103: Council Services,"<p><em>For your reference, the Fiscal 2022 Actual, Fiscal 2023 Adopted, and Fiscal 2024 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2022 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2024 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
      </tr></tbody></table>"
106,14986,Service 106: Legislative Reference Services,"<p><em>For your reference, the Fiscal 2022 Actual, Fiscal 2023 Adopted, and Fiscal 2024 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2022 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2024 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
      </tr></tbody></table>"
107,14987,Service 107: Archives and Records Management,"<p><em>For your reference, the Fiscal 2022 Actual, Fiscal 2023 Adopted, and Fiscal 2024 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2022 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2024 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
      </tr></tbody></table>"
109,120665,Service 109: Administration-MOCFS,"<p><em>For your reference, the Fiscal 2022 Actual, Fiscal 2023 Adopted, and Fiscal 2024 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2022 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2024 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
      </tr></tbody></table>"
110,9989806,Service 110: Circuit Court,"<p><em>For your reference, the Fiscal 2022 Actual, Fiscal 2023 Adopted, and Fiscal 2024 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2022 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2024 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
      </tr></tbody></table>"
115,9989815,Service 115: Prosecution of Criminals,"<p><em>For your reference, the Fiscal 2022 Actual, Fiscal 2023 Adopted, and Fiscal 2024 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2022 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2024 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
      </tr></tbody></table>"
117,15003,Service 117: Adjudication of Environmental Citations,"<p><em>For your reference, the Fiscal 2022 Actual, Fiscal 2023 Adopted, and Fiscal 2024 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2022 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2024 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
      </tr></tbody></table>"
125,9989808,Service 125: Mayoralty,"<p><em>For your reference, the Fiscal 2022 Actual, Fiscal 2023 Adopted, and Fiscal 2024 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2022 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2024 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
      </tr></tbody></table>"
128,15028,Service 128: Labor Contract Negotiations and Administration,"<p><em>For your reference, the Fiscal 2022 Actual, Fiscal 2023 Adopted, and Fiscal 2024 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2022 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2024 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
      </tr></tbody></table>"
130,9989797,Service 130: Executive Direction and Control,"<p><em>For your reference, the Fiscal 2022 Actual, Fiscal 2023 Adopted, and Fiscal 2024 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2022 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2024 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
      </tr></tbody></table>"
130,9990854,Service 130: Executive Direction Enhancement Request FY23,"<p><em>For your reference, the Fiscal 2022 Actual, Fiscal 2023 Adopted, and Fiscal 2024 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2022 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2024 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
          <td style='text-align:right'></td>
      </tr></tbody></table>"
